code_x,country,countryEn,displayAffiliation,displayName,displayNameEn,dob,draftYear,experience,firstInitial,firstName,firstNameEn,height,jerseyNo,lastName,lastNameEn,leagueId_x,playerId,position,schoolType,weight,abbr,city,cityEn,code_y,conference,displayAbbr,displayConference,division,id,isAllStarTeam,isLeagueTeam,leagueId_y,name,nameEn
alex_abrines,西班牙,Spain,Spain,亚历克斯 阿布里内斯,Alex Abrines,744177600000,2013,2,亚历克斯,亚历克斯,Alex,1.98,8,阿布里内斯,Abrines,00,203518,后卫,None,90.7 公斤,OKC,俄克拉荷马城,Oklahoma City,thunder,Western,雷霆,西部,西北分区,1610612760,False,True,00,雷霆,Thunder
jaylen_adams,美国,United States,St. Bonaventure/United States,杰伦 亚当斯,Jaylen Adams,831182400000,2018,0,杰伦,杰伦,Jaylen,1.88,10,亚当斯,Adams,00,1629121,后卫,College,86.2 公斤,ATL,亚特兰大,Atlanta,hawks,Eastern,老鹰,东部,东南分区,1610612737,False,True,00,老鹰,Hawks
steven_adams,新西兰,New Zealand,Pittsburgh/New Zealand,斯蒂文 亚当斯,Steven Adams,743140800000,2013,5,斯蒂文,斯蒂文,Steven,2.13,12,亚当斯,Adams,00,203500,中锋,College,120.2 公斤,OKC,俄克拉荷马城,Oklahoma City,thunder,Western,雷霆,西部,西北分区,1610612760,False,True,00,雷霆,Thunder
bam_adebayo,美国,United States,Kentucky/United States,巴姆 阿德巴约,Bam Adebayo,869198400000,2017,1,巴姆,巴姆,Bam,2.08,13,阿德巴约,Adebayo,00,1628389,中锋-前锋,College,115.7 公斤,MIA,迈阿密,Miami,heat,Eastern,热火,东部,东南分区,1610612748,False,True,00,热火,Heat
devaughn_akoon-purcell,Trinidad and Tobago,Trinidad and Tobago,Illinois State/Trinidad and Tobago,DeVaughn Akoon-Purcell,DeVaughn Akoon-Purcell,739252800000,2016,0,DeVaughn,DeVaughn,DeVaughn,1.98,23,Akoon-Purcell,Akoon-Purcell,00,1629152,后卫-前锋,College,90.7 公斤,DEN,丹佛,Denver,nuggets,Western,掘金,西部,西北分区,1610612743,False,True,00,掘金,Nuggets
lamarcus_aldridge,美国,United States,Texas/United States,拉马库斯 阿尔德里奇,LaMarcus Aldridge,490593600000,2006,12,拉马库斯,拉马库斯,LaMarcus,2.11,12,阿尔德里奇,Aldridge,00,200746,前锋,College,117.9 公斤,SAS,圣安东尼奥,San Antonio,spurs,Western,马刺,西部,西南分区,1610612759,False,True,00,马刺,Spurs
rawle_alkins,美国,United States,United States,劳勒 Alkins,Rawle Alkins,878101200000,2018,0,劳勒,劳勒,Rawle,1.96,20,Alkins,Alkins,00,1628959,后卫,,102.1 公斤,CHI,芝加哥,Chicago,bulls,Eastern,公牛,东部,中央分区,1610612741,False,True,00,公牛,Bulls
grayson_allen,美国,United States,Duke/United States,格雷森 艾伦,Grayson Allen,813124800000,2018,0,格雷森,格雷森,Grayson,1.96,24,艾伦,Allen,00,1628960,后卫,College,89.8 公斤,UTA,犹他,Utah,jazz,Western,爵士,西部,西北分区,1610612762,False,True,00,爵士,Jazz
jarrett_allen,美国,United States,Texas/United States,贾瑞特 艾伦,Jarrett Allen,893131200000,2017,1,贾瑞特,贾瑞特,Jarrett,2.11,31,艾伦,Allen,00,1628386,中锋,College,107.5 公斤,BKN,布鲁克林,Brooklyn,nets,Eastern,篮网,东部,大西洋分区,1610612751,False,True,00,篮网,Nets
al-farouq_aminu,美国,United States,Wake Forest/United States,艾尔-法鲁克 阿米奴,Al-Farouq Aminu,653889600000,2010,8,艾尔-法鲁克,艾尔-法鲁克,Al-Farouq,2.06,8,阿米奴,Aminu,00,202329,前锋,College,99.8 公斤,POR,波特兰,Portland,blazers,Western,开拓者,西部,西北分区,1610612757,False,True,00,开拓者,Trail Blazers
justin_anderson,美国,United States,Virginia/United States,贾斯汀 安德森,Justin Anderson,753685200000,2015,3,贾斯汀,贾斯汀,Justin,1.98,1,安德森,Anderson,00,1626147,后卫-前锋,College,104.3 公斤,ATL,亚特兰大,Atlanta,hawks,Eastern,老鹰,东部,东南分区,1610612737,False,True,00,老鹰,Hawks
kyle_anderson,美国,United States,UCLA/United States,凯尔 安德森,Kyle Anderson,748497600000,2014,4,凯尔,凯尔,Kyle,2.06,1,安德森,Anderson,00,203937,前锋,College,104.3 公斤,MEM,孟菲斯,Memphis,grizzlies,Western,灰熊,西部,西南分区,1610612763,False,True,00,灰熊,Grizzlies
ryan_anderson,美国,United States,California/United States,莱恩 安德森,Ryan Anderson,578894400000,2008,10,莱恩,莱恩,Ryan,2.08,15,安德森,Anderson,00,201583,前锋,College,108.9 公斤,PHX,菲尼克斯,Phoenix,suns,Western,太阳,西部,太平洋分区,1610612756,False,True,00,太阳,Suns
ike_anigbogu,美国,United States,California-Los Angeles/United States,埃克 安尼博古,Ike Anigbogu,908510400000,2017,1,埃克,埃克,Ike,2.08,13,安尼博古,Anigbogu,00,1628387,中锋,College,113.4 公斤,IND,印第安纳,Indiana,pacers,Eastern,步行者,东部,中央分区,1610612754,False,True,00,步行者,Pacers
giannis_antetokounmpo,希腊,Greece,Greece/Greece,扬尼斯 安特托昆博,Giannis Antetokounmpo,786690000000,2013,5,扬尼斯,扬尼斯,Giannis,2.11,34,安特托昆博,Antetokounmpo,00,203507,前锋,Country,109.8 公斤,MIL,密尔沃基,Milwaukee,bucks,Eastern,雄鹿,东部,中央分区,1610612749,False,True,00,雄鹿,Bucks
