code_x,country,countryEn,displayAffiliation,displayName,displayNameEn,dob,draftYear,experience,firstInitial,firstName,firstNameEn,height,jerseyNo,lastName,lastNameEn,leagueId_x,playerId,position,schoolType,weight,abbr,city,cityEn,code_y,conference,displayAbbr,displayConference,division,id,isAllStarTeam,isLeagueTeam,leagueId_y,name,nameEn,assistsPg,blocksPg,defRebsPg,efficiency,fgaPg,fgmPg,fgpct_x,foulsPg,ftaPg,ftmPg,ftpct_x,games,gamesStarted,minsPg,offRebsPg,pointsPg,rebsPg,stealsPg,tpaPg,tpmPg,tppct_x,turnoversPg,assists,blocks,defRebs,fga,fgm,fgpct_y,fouls,fta,ftm,ftpct_y,mins,offRebs,points,rebs,secs,steals,tpa,tpm,tppct_y,turnovers
kemba_walker,美国,United States,Connecticut/United States,肯巴 沃克,Kemba Walker,642139200000,2011,7,肯巴,肯巴,Kemba,1米85,15,沃克,Walker,00,202689,后卫,College,"83,5 公斤",CHA,夏洛特,Charlotte,hornets,Eastern,黄蜂,东部,东南分区,1610612766,False,True,00,黄蜂,Hornets,6.1,0.3,4.1,26.6,21.625,10.063,46.5,1.4,6.25,5.375,86.0,16,16,35.3,0.4,29.6,4.4,1.1,10.438,4.063,38.9,2.5,97,5,65,346,161,46.5,23,100,86,86.0,564,6,473,71,0,18,167,65,38.9,40
stephen_curry,美国,United States,Davidson/United States,斯蒂芬 库里,Stephen Curry,574318800000,2009,9,斯蒂芬,斯蒂芬,Stephen,1米91,30,库里,Curry,00,201939,后卫,College,"86,2 公斤",GSW,金州,Golden State,warriors,Western,勇士,西部,太平洋分区,1610612744,False,True,00,勇士,Warriors,6.1,0.3,4.5,29.0,19.75,10.167,51.5,2.3,4.333,4.0,92.3,12,12,33.3,0.5,29.5,5.0,1.0,10.5,5.167,49.2,3.0,73,4,54,237,122,51.5,28,52,48,92.3,399,6,354,60,0,12,126,62,49.2,36
lebron_james,美国,United States,St. Vincent-St. Mary HS (OH)/United States,勒布朗 詹姆斯,LeBron James,473230800000,2003,15,勒布朗,勒布朗,LeBron,2米03,23,詹姆斯,James,00,2544,前锋,High School,"113,4 公斤",LAL,洛杉矶,Los Angeles,lakers,Western,湖人,西部,太平洋分区,1610612747,False,True,00,湖人,Lakers,6.9,0.9,6.7,31.1,19.938,10.375,52.0,1.8,7.5,5.625,75.0,16,16,34.7,1.0,28.8,7.7,1.4,6.0,2.375,39.6,3.2,111,14,107,319,166,52.0,28,120,90,75.0,555,16,460,123,0,23,96,38,39.6,51
joel_embiid,喀麦隆,Cameroon,Kansas/Cameroon,乔尔 恩比德,Joel Embiid,763794000000,2014,2,乔尔,乔尔,Joel,2米13,21,恩比德,Embiid,00,203954,前锋-中锋,College,"113,4 公斤",PHI,费城,Philadelphia,sixers,Eastern,76人,东部,大西洋分区,1610612755,False,True,00,76人,Sixers,3.6,2.1,10.9,31.8,19.211,8.895,46.3,3.6,10.842,8.789,81.1,19,19,34.9,2.2,27.9,13.1,0.5,4.421,1.368,31.0,3.1,69,40,207,365,169,46.3,68,206,167,81.1,664,42,531,249,0,10,84,26,31.0,59
james_harden,美国,United States,Arizona State/United States,詹姆斯 哈登,James Harden,620107200000,2009,9,詹姆斯,詹姆斯,James,1米96,13,哈登,Harden,00,201935,后卫,College,"99,8 公斤",HOU,休斯顿,Houston,rockets,Western,火箭,西部,西南分区,1610612745,False,True,00,火箭,Rockets,7.3,0.7,4.8,25.6,19.417,8.25,42.5,3.2,9.0,7.333,81.5,12,12,35.8,0.5,27.8,5.3,2.3,11.25,4.0,35.6,5.0,88,8,57,233,99,42.5,38,108,88,81.5,430,6,334,63,0,28,135,48,35.6,60
anthony_davis,美国,United States,Kentucky/United States,安东尼 戴维斯,Anthony Davis,731826000000,2012,6,安东尼,安东尼,Anthony,2米08,23,戴维斯,Davis,00,203076,前锋-中锋,College,"114,8 公斤",NOP,新奥尔良,New Orleans,pelicans,Western,鹈鹕,西部,西南分区,1610612740,False,True,00,鹈鹕,Pelicans,4.9,2.7,8.9,34.9,19.714,9.643,48.9,2.7,9.5,7.571,79.7,14,14,37.6,3.5,27.6,12.4,1.4,2.214,0.786,35.5,2.1,68,38,125,276,135,48.9,38,133,106,79.7,526,49,387,174,0,19,31,11,35.5,29
kevin_durant,美国,United States,Texas/United States,凯文 杜兰特,Kevin Durant,591508800000,2007,11,凯文,凯文,Kevin,2米06,35,杜兰特,Durant,00,201142,前锋,College,"108,9 公斤",GSW,金州,Golden State,warriors,Western,勇士,西部,太平洋分区,1610612744,False,True,00,勇士,Warriors,6.1,0.8,6.8,29.4,18.944,9.556,50.4,1.8,7.444,6.889,92.5,18,18,34.8,0.3,27.2,7.2,0.9,3.778,1.222,32.4,2.9,109,15,123,341,172,50.4,32,134,124,92.5,626,6,490,129,0,17,68,22,32.4,52
damian_lillard,美国,United States,Weber State/United States,达米安 利拉德,Damian Lillard,648014400000,2012,6,达米安,达米安,Damian,1米91,0,利拉德,Lillard,00,203081,后卫,College,"88,5 公斤",POR,波特兰,Portland,blazers,Western,开拓者,西部,西北分区,1610612757,False,True,00,开拓者,Trail Blazers,6.2,0.3,4.4,25.3,19.588,8.588,43.8,1.5,7.529,6.882,91.4,17,17,34.6,0.9,26.7,5.4,0.8,7.588,2.647,34.9,2.4,105,5,75,333,146,43.8,26,128,117,91.4,589,16,454,91,0,13,129,45,34.9,40
giannis_antetokounmpo,希腊,Greece,Greece/Greece,扬尼斯 安特托昆博,Giannis Antetokounmpo,786690000000,2013,5,扬尼斯,扬尼斯,Giannis,2米11,34,安特托昆博,Antetokounmpo,00,203507,前锋,Country,"109,8 公斤",MIL,密尔沃基,Milwaukee,bucks,Eastern,雄鹿,东部,中央分区,1610612749,False,True,00,雄鹿,Bucks,5.5,1.4,10.1,31.4,18.267,10.133,55.5,3.3,7.933,5.333,67.2,15,15,33.1,2.6,25.9,12.7,1.3,2.533,0.267,10.5,4.7,83,21,151,274,152,55.5,50,119,80,67.2,497,39,388,190,0,20,38,4,10.5,70
zach_lavine,美国,United States,UCLA/United States,扎克 拉文,Zach LaVine,794811600000,2014,4,扎克,扎克,Zach,1米96,8,拉文,LaVine,00,203897,后卫,College,"90,7 公斤",CHI,芝加哥,Chicago,bulls,Eastern,公牛,东部,中央分区,1610612741,False,True,00,公牛,Bulls,4.0,0.6,5.1,20.3,19.813,8.563,43.2,2.4,7.25,6.25,86.2,16,16,35.9,0.4,25.3,5.4,1.2,6.0,1.875,31.3,4.0,64,10,81,317,137,43.2,38,116,100,86.2,575,6,404,87,0,19,96,30,31.3,64
